skill_name	status	hermes_mtime	aaa_mtime	hermes_bytes	aaa_bytes
federation-connect-headscale	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	6738	6738
federation-release-attestation	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	4162	4162
firecrawl-web-search	aaa_newer	2026-08-19 03:03:38	2026-08-20 01:08:41	7105	8815
FLAME-operator	aaa_newer	2026-08-10 19:51:38	2026-08-17 17:49:34	6067	6129
FLAME-router	identical	2026-08-10 12:10:42	2026-08-10 12:10:42	11849	11849
flash	identical	2026-08-13 11:07:25	2026-08-10 14:20:43	12407	12407
FORGE-act-federation-ingress	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	6584	6584
FORGE-agentic-web-builder	identical	2026-08-20 01:08:41	2026-08-20 01:08:41	11908	11908
FORGE-call-map	identical	2026-08-10 12:10:46	2026-08-10 12:10:46	1359	1359
FORGE-cicd-docker-deploy	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	3549	3549
FORGE-ci-diagnose	identical	2026-08-10 12:10:47	2026-08-10 12:10:47	7038	7038
FORGE-code-analysis	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	14584	14584
FORGE-context-compress	aaa_missing	2026-08-10 19:51:38	-	4569	-
FORGE-context-compressor	aaa_newer	2026-08-10 19:51:38	2026-08-21 13:48:15	2957	6841
FORGE-cross-agent-handoff	identical	2026-08-19 19:41:35	2026-08-19 19:41:35	6001	6001
FORGE-cross-repo-doc-zen	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	5514	5514
FORGE-data-compression	aaa_missing	2026-08-10 19:51:38	-	1779	-
FORGE-did-web-identity	identical	2026-08-10 12:10:53	2026-08-10 12:10:53	2761	2761
FORGE-docker-entropy	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	6760	6760
FORGE-document-intelligence	identical	2026-08-12 21:36:28	2026-08-21 21:01:47	25180	25180
FORGE-ephemeral-genesis	identical	2026-08-10 12:10:55	2026-08-10 12:10:55	7529	7529
FORGE-esm-require-guard	identical	2026-08-19 03:03:37	2026-08-15 03:19:27	4309	4309
FORGE-fastapi-api-builder	identical	2026-08-10 12:10:55	2026-08-10 12:10:55	2678	2678
FORGE-fastmcp	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	11033	11033
FORGE-federation-manifest	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	2888	2888
FORGE-federation-orchestrator	aaa_newer	2026-08-10 19:51:38	2026-08-14 05:40:09	3103	3966
FORGE-github-ops	aaa_newer	2026-08-10 19:51:38	2026-08-21 13:51:38	3575	4197
FORGE-github-workflow	aaa_missing	2026-08-10 19:51:38	-	1957	-
FORGE-google-workspace	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	7558	7558
FORGE-governance-jsonld	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	2774	2774
FORGE-incident-escalation	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	3526	3526
FORGE-incident-triage	identical	2026-08-10 12:10:56	2026-08-10 12:10:56	16303	16303
FORGE-infra-crons	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	688	688
FORGE-infra-guardian	identical	2026-08-10 12:10:56	2026-08-10 12:10:56	2129	2129
FORGE-issue-triage	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	6425	6425
FORGE-kimi-code	aaa_newer	2026-08-10 19:51:38	2026-08-17 17:49:34	5861	5925
FORGE-komda-color-law	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	4543	4543
FORGE-lsp-pre-edit-gate	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	6037	6037
FORGE-mcp-a2a-agentic	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	3180	3180
FORGE-mcp-federation-ops	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	8224	8224
FORGE-mcp-gui	hermes_newer	2026-08-10 19:51:38	2026-08-10 12:10:57	14159	14213
FORGE-mcp-lifeguard	aaa_newer	2026-08-10 19:51:38	2026-08-13 13:43:21	3719	3834
FORGE-mcp-ops	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	5214	5214
FORGE-mcp-probe	aaa_newer	2026-08-08 10:28:18	2026-08-21 21:04:10	9176	10574
FORGE-mcp-smoke-test	identical	2026-08-21 14:04:46	2026-08-21 14:04:46	5733	5733
FORGE-mcp-testing	aaa_newer	2026-08-09 15:06:34	2026-08-21 14:04:46	7252	7538
FORGE-model-monitor	identical	2026-08-10 19:51:38	2026-08-21 21:01:47	2459	2459
forge-multimodal-router	identical	2026-08-20 06:09:14	2026-08-20 06:08:44	13232	13232
FORGE-nextjs-mastery	identical	2026-08-10 12:11:01	2026-08-10 12:11:01	2901	2901
FORGE-onboarding	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	8302	8302
FORGE-postgres-schema-design	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	2881	2881
FORGE-precommit-review	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	4184	4184
FORGE-pr-governance	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	4529	4529
FORGE-pr-review	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	3481	3481
FORGE-react-spa-discipline	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	2549	2549
FORGE-readme-truth-check	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	2716	2716
FORGE-redis-qdrant-integration	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	2697	2697
FORGE-repo-intelligence	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	11167	11167
FORGE-route-least-power	identical	2026-08-10 12:11:02	2026-08-10 12:11:02	4220	4220
FORGE-seal-a-close	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	2420	2420
FORGE-secret-hygiene	identical	2026-08-10 12:11:02	2026-08-10 12:11:02	3072	3072
FORGE-skill-creator	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	5139	5139
FORGE-skill-linter	identical	2026-08-10 12:11:02	2026-08-10 12:11:02	5935	5935
FORGE-spatial-grounding	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	822	822
FORGE-subagent-lifecycle	hermes_newer	2026-08-10 19:51:38	2026-08-10 19:17:57	10019	10246
FORGE-subagent-spawn	identical	2026-08-19 19:50:22	2026-08-19 19:50:22	5422	5422
FORGE-symlink-audit	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	2118	2118
FORGE-t3a-binding-matrix	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	2321	2321
FORGE-tailwind-tokens	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	2572	2572
FORGE-telegram-audit	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	5469	5469
FORGE-telemetry-watchdog	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	2188	2188
FORGE-vault999-witness	hermes_newer	2026-08-14 20:14:05	2026-08-10 12:11:04	5161	3680
FORGE-verify-runtime	identical	2026-08-10 12:11:04	2026-08-10 12:11:04	3507	3507
FORGE-visual-qa-w3	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	15566	15566
FORGE-vps-docker	identical	2026-08-10 12:11:05	2026-08-10 12:11:05	4912	4912
FORGE-vps-runbook	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	6651	6651
forge-vss-parser	identical	2026-08-19 03:03:38	2026-08-19 00:09:42	4979	4979
forge-vss-verifier-suite	identical	2026-08-19 03:03:38	2026-08-19 00:16:39	17160	17160
FORGE-well-boundary-repair	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	736	736
geox-production-cockpit	aaa_newer	2026-08-10 19:51:38	2026-08-18 15:49:31	4228	4726
help	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	2582	2582
hermes-claude-code-spawn	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	5184	5184
hermes-forge	aaa_newer	2026-08-08 14:28:21	2026-08-10 12:11:09	4841	4897
hermes-gateway-image-routing	aaa_newer	2026-07-30 22:56:57	2026-08-10 12:11:09	29195	29358
hermes-init	aaa_newer	2026-08-08 14:27:40	2026-08-10 12:11:09	3485	3542
HERMES-opencode-protocol	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	2238	2238
hermes-propose-seal	aaa_newer	2026-08-09 17:15:18	2026-08-15 03:19:27	4430	4819
image-analyzer-vision	aaa_newer	2026-08-19 03:03:38	2026-08-21 13:23:36	4137	4137
imagine	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	10307	10307
institutional-epistemic-sink-forensics	aaa_newer	2026-07-24 11:03:36	2026-08-13 05:40:32	24857	25150
KERNEL-trinity-33	identical	2026-08-10 12:11:07	2026-08-10 12:11:07	13578	13578
knowledge	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	423	423
minimax-image-gen	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	3191	3191
MY-REALITY-STACK	identical	2026-08-19 03:03:37	2026-08-15 05:31:26	4949	4949
openclaw	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	9267	9267
openclaw-claude-code-spawn	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	2947	2947
openclaw-forge	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	4726	4726
openclaw-init	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	4524	4524
openclaw-propose-seal	aaa_newer	2026-08-10 19:51:38	2026-08-15 03:19:27	3693	3751
opencode-forge	aaa_newer	2026-08-10 19:51:38	2026-08-15 03:19:27	4681	4739
opencode-init	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	5062	5062
opencode-propose-seal	aaa_newer	2026-08-10 19:51:38	2026-08-15 03:19:27	5417	5475
PETRONAS-intelligence-router	aaa_newer	2026-08-19 03:03:37	2026-08-20 01:08:41	4611	6321
qwen-harness-tools	identical	2026-08-19 03:03:38	2026-08-18 16:18:46	3578	3578
reality-loop-operator	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	8207	8207
reflective	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	436	436
RSI-federation-mesh	aaa_newer	2026-08-08 10:43:04	2026-08-10 12:11:07	9075	23512
RSI-recursive-improvement	identical	2026-08-19 18:05:59	2026-08-19 18:05:59	34	34
runpod	identical	2026-08-13 11:07:25	2026-08-10 14:18:17	11184	11184
runpodctl	identical	2026-08-13 03:02:48	2026-08-10 14:18:18	21242	21242
runpod-mcp	identical	2026-08-13 03:02:48	2026-08-10 14:18:18	7737	7737
runpod-usage	identical	2026-08-13 03:02:48	2026-08-10 14:18:18	2316	2316
runtime	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	348	348
scripts	aaa_newer	2026-08-10 03:02:50	2026-08-10 12:11:14	350	406
seven-zen-organs-enforcement	aaa_newer	2026-08-01 06:31:38	2026-08-17 17:49:34	83509	83634
submission-readiness-audit	aaa_newer	2026-07-24 11:03:36	2026-08-10 12:11:14	21367	21476
substrate	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	420	420
token-plan-image	hermes_newer	2026-08-20 05:41:16	2026-08-18 08:45:31	3078	2124
token-plan-speech	identical	2026-08-19 03:03:38	2026-08-18 08:45:31	1374	1374
token-plan-video	identical	2026-08-19 03:03:38	2026-08-18 08:45:31	2080	2080
warga	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	439	439
wealth-claim-state	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	419	419
wisdom-scar-session-audit	aaa_newer	2026-08-01 07:22:43	2026-08-10 12:11:14	33782	33894
xauusd-trading	identical	2026-08-10 19:51:38	2026-08-21 21:01:48	4840	4840
